Metric,Value
Training R2,0.8032395191716768
Testing R2,0.8006199319831651
R2 Gap,0.0026195871885117405
Test MAE,0.34975445311125924
Test RMSE,0.4335206447324451
5-Fold CV Mean R2,0.7890813848502003
5-Fold CV R2 Standard Deviation,0.005720914731639932
5-Fold CV Mean MAE,0.3497450254982622
5-Fold CV Mean RMSE,0.4310872374209098
